"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9581","checkCreatingCustomFilter","Surefire suite","Sun Jul 20 17:28:40 GMT 2025","failed","Sun Jul 20 17:28:50 GMT 2025","tests.ui.WorkspaceTest","Surefire test","tests.ui.WorkspaceTest","checkCreatingCustomFilter"
"","9169","checkLoginWithWrongPin","Surefire suite","Sun Jul 20 17:30:55 GMT 2025","passed","Sun Jul 20 17:31:04 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","9517","checkSearchByCardName","Surefire suite","Sun Jul 20 17:28:31 GMT 2025","passed","Sun Jul 20 17:28:40 GMT 2025","tests.ui.WorkspaceTest","Surefire test","tests.ui.WorkspaceTest","checkSearchByCardName"
"","878","checkAddCommentWithFile","Surefire suite","Sun Jul 20 17:31:20 GMT 2025","failed","Sun Jul 20 17:31:21 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCommentWithFile"
"","8899","checkCloseCard","Surefire suite","Sun Jul 20 17:29:11 GMT 2025","passed","Sun Jul 20 17:29:20 GMT 2025","tests.ui.WorkspaceTest","Surefire test","tests.ui.WorkspaceTest","checkCloseCard"
"","467","checkAddCardChecklist","Surefire suite","Sun Jul 20 17:31:23 GMT 2025","failed","Sun Jul 20 17:31:23 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardChecklist"
"","9142","checkChangeAvatar","Surefire suite","Sun Jul 20 17:30:16 GMT 2025","passed","Sun Jul 20 17:30:25 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","459","checkAddLinkToCard","Surefire suite","Sun Jul 20 17:31:22 GMT 2025","failed","Sun Jul 20 17:31:22 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddLinkToCard"
"","8656","checkChangeUserName","Surefire suite","Sun Jul 20 17:30:07 GMT 2025","passed","Sun Jul 20 17:30:16 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","8539","checkDragAndDropCard","Surefire suite","Sun Jul 20 17:29:20 GMT 2025","failed","Sun Jul 20 17:29:28 GMT 2025","tests.ui.WorkspaceTest","Surefire test","tests.ui.WorkspaceTest","checkDragAndDropCard"
