"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8980","checkSwitchTheme","Surefire suite","Sat Jul 12 14:56:00 GMT 2025","passed","Sat Jul 12 14:56:09 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","9478","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 14:56:16 GMT 2025","passed","Sat Jul 12 14:56:25 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","8491","checkChangeAccountPassword","Surefire suite","Sat Jul 12 14:55:33 GMT 2025","passed","Sat Jul 12 14:55:42 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","11793","checkLogout","Surefire suite","Sat Jul 12 14:56:25 GMT 2025","passed","Sat Jul 12 14:56:37 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
"","5633","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 14:56:37 GMT 2025","passed","Sat Jul 12 14:56:43 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","32582","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 14:56:43 GMT 2025","failed","Sat Jul 12 14:57:16 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","9223","checkChangeAvatar","Surefire suite","Sat Jul 12 14:55:42 GMT 2025","passed","Sat Jul 12 14:55:51 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","3151","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 14:56:13 GMT 2025","passed","Sat Jul 12 14:56:16 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","3144","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 14:56:09 GMT 2025","passed","Sat Jul 12 14:56:13 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","8952","checkChangeUserName","Surefire suite","Sat Jul 12 14:55:51 GMT 2025","passed","Sat Jul 12 14:56:00 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
