"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8682","checkChangeAvatar","Surefire suite","Sat Jul 12 08:38:01 GMT 2025","passed","Sat Jul 12 08:38:10 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","9431","checkChangeUserName","Surefire suite","Sat Jul 12 08:38:10 GMT 2025","passed","Sat Jul 12 08:38:19 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","3444","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 08:38:32 GMT 2025","passed","Sat Jul 12 08:38:35 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","9034","checkSwitchTheme","Surefire suite","Sat Jul 12 08:38:19 GMT 2025","passed","Sat Jul 12 08:38:28 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","5719","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 08:38:56 GMT 2025","passed","Sat Jul 12 08:39:01 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","3190","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 08:38:28 GMT 2025","passed","Sat Jul 12 08:38:32 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","32935","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 08:39:01 GMT 2025","failed","Sat Jul 12 08:39:34 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","8398","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 08:38:35 GMT 2025","passed","Sat Jul 12 08:38:44 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","8771","checkChangeAccountPassword","Surefire suite","Sat Jul 12 08:37:52 GMT 2025","passed","Sat Jul 12 08:38:01 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","11927","checkLogout","Surefire suite","Sat Jul 12 08:38:44 GMT 2025","passed","Sat Jul 12 08:38:56 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
