"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1088","checkAddTagToCard","Surefire suite","Sun Jul 13 21:31:47 GMT 2025","passed","Sun Jul 13 21:31:48 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddTagToCard"
"","3222","checkLoginWithWrongPassword","Surefire suite","Sun Jul 13 21:30:56 GMT 2025","passed","Sun Jul 13 21:30:59 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","1441","checkAddCardDescriptionAndAsap","Surefire suite","Sun Jul 13 21:31:45 GMT 2025","passed","Sun Jul 13 21:31:46 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardDescriptionAndAsap"
"","2450","checkAddCardChecklist","Surefire suite","Sun Jul 13 21:31:51 GMT 2025","passed","Sun Jul 13 21:31:54 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardChecklist"
"","8494","checkChangeAccountPassword","Surefire suite","Sun Jul 13 21:30:17 GMT 2025","passed","Sun Jul 13 21:30:26 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","11017","checkSuccessLoginWithPin","Surefire suite","Sun Jul 13 21:31:26 GMT 2025","passed","Sun Jul 13 21:31:37 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","9179","checkChangeUserName","Surefire suite","Sun Jul 13 21:30:35 GMT 2025","passed","Sun Jul 13 21:30:44 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","3178","checkLoginWithWrongEmail","Surefire suite","Sun Jul 13 21:30:53 GMT 2025","passed","Sun Jul 13 21:30:56 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","11621","checkLogout","Surefire suite","Sun Jul 13 21:31:09 GMT 2025","passed","Sun Jul 13 21:31:21 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
"","1210","checkAddCommentToCard","Surefire suite","Sun Jul 13 21:31:42 GMT 2025","passed","Sun Jul 13 21:31:43 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCommentToCard"
"","1813","checkAddCommentWithFile","Surefire suite","Sun Jul 13 21:31:43 GMT 2025","passed","Sun Jul 13 21:31:45 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCommentWithFile"
"","8605","checkSwitchTheme","Surefire suite","Sun Jul 13 21:30:44 GMT 2025","passed","Sun Jul 13 21:30:53 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","1802","checkCreatingBoard","Surefire suite","Sun Jul 13 21:31:38 GMT 2025","passed","Sun Jul 13 21:31:40 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkCreatingBoard"
"","9435","checkLoginWithWrongPin","Surefire suite","Sun Jul 13 21:31:00 GMT 2025","passed","Sun Jul 13 21:31:09 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","1156","checkAddLinkToCard","Surefire suite","Sun Jul 13 21:31:46 GMT 2025","passed","Sun Jul 13 21:31:47 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddLinkToCard"
"","1815","checkCreatingCard","Surefire suite","Sun Jul 13 21:31:40 GMT 2025","passed","Sun Jul 13 21:31:42 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkCreatingCard"
"","9087","checkChangeAvatar","Surefire suite","Sun Jul 13 21:30:26 GMT 2025","passed","Sun Jul 13 21:30:35 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","5530","checkSuccessLoginWithPassword","Surefire suite","Sun Jul 13 21:31:21 GMT 2025","passed","Sun Jul 13 21:31:26 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","1391","checkDeletingCard","Surefire suite","Sun Jul 13 21:31:54 GMT 2025","passed","Sun Jul 13 21:31:55 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkDeletingCard"
"","706","checkCreatingWorkspace","Surefire suite","Sun Jul 13 21:31:37 GMT 2025","passed","Sun Jul 13 21:31:38 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkCreatingWorkspace"
"","2608","checkAddCardCover","Surefire suite","Sun Jul 13 21:31:48 GMT 2025","passed","Sun Jul 13 21:31:51 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardCover"
