"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7734","checkChangeAccountPassword","Surefire suite","Sat Jul 12 23:12:50 GMT 2025","passed","Sat Jul 12 23:12:57 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","10157","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 23:13:55 GMT 2025","passed","Sat Jul 12 23:14:05 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","5052","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 23:13:50 GMT 2025","passed","Sat Jul 12 23:13:55 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","8174","checkChangeUserName","Surefire suite","Sat Jul 12 23:13:06 GMT 2025","passed","Sat Jul 12 23:13:14 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","4399","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 23:13:22 GMT 2025","passed","Sat Jul 12 23:13:27 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","8350","checkChangeAvatar","Surefire suite","Sat Jul 12 23:12:58 GMT 2025","passed","Sat Jul 12 23:13:06 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","2859","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 23:13:27 GMT 2025","passed","Sat Jul 12 23:13:30 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","8942","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 23:13:30 GMT 2025","passed","Sat Jul 12 23:13:39 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","7975","checkSwitchTheme","Surefire suite","Sat Jul 12 23:13:14 GMT 2025","passed","Sat Jul 12 23:13:22 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","10880","checkLogout","Surefire suite","Sat Jul 12 23:13:39 GMT 2025","passed","Sat Jul 12 23:13:50 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
