"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2360","checkAddCardChecklist","Surefire suite","Wed Jul 16 16:08:33 GMT 2025","passed","Wed Jul 16 16:08:36 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardChecklist"
"","8417","checkChangeAccountPassword","Surefire suite","Wed Jul 16 16:06:58 GMT 2025","passed","Wed Jul 16 16:07:07 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","1997","checkAddCardCover","Surefire suite","Wed Jul 16 16:08:31 GMT 2025","passed","Wed Jul 16 16:08:33 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardCover"
"","3173","checkLoginWithWrongEmail","Surefire suite","Wed Jul 16 16:07:34 GMT 2025","passed","Wed Jul 16 16:07:37 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","8753","checkSwitchTheme","Surefire suite","Wed Jul 16 16:07:25 GMT 2025","passed","Wed Jul 16 16:07:34 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","11103","checkSuccessLoginWithPin","Surefire suite","Wed Jul 16 16:08:08 GMT 2025","passed","Wed Jul 16 16:08:19 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","9216","checkChangeAvatar","Surefire suite","Wed Jul 16 16:07:07 GMT 2025","passed","Wed Jul 16 16:07:16 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","1371","checkAddCommentToCard","Surefire suite","Wed Jul 16 16:08:24 GMT 2025","passed","Wed Jul 16 16:08:25 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCommentToCard"
"","875","checkCreatingWorkspace","Surefire suite","Wed Jul 16 16:08:19 GMT 2025","passed","Wed Jul 16 16:08:20 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkCreatingWorkspace"
"","1541","checkAddCardDescriptionAndAsap","Surefire suite","Wed Jul 16 16:08:27 GMT 2025","passed","Wed Jul 16 16:08:29 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardDescriptionAndAsap"
"","1173","checkDeletingCard","Surefire suite","Wed Jul 16 16:08:36 GMT 2025","passed","Wed Jul 16 16:08:37 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkDeletingCard"
"","1835","checkCreatingBoard","Surefire suite","Wed Jul 16 16:08:20 GMT 2025","passed","Wed Jul 16 16:08:22 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkCreatingBoard"
"","9140","checkChangeUserName","Surefire suite","Wed Jul 16 16:07:16 GMT 2025","passed","Wed Jul 16 16:07:25 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","6321","checkSuccessLoginWithPassword","Surefire suite","Wed Jul 16 16:08:01 GMT 2025","passed","Wed Jul 16 16:08:08 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","1500","checkAddTagToCard","Surefire suite","Wed Jul 16 16:08:30 GMT 2025","passed","Wed Jul 16 16:08:31 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddTagToCard"
"","2309","checkCreatingCard","Surefire suite","Wed Jul 16 16:08:22 GMT 2025","passed","Wed Jul 16 16:08:24 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkCreatingCard"
"","1950","checkAddCommentWithFile","Surefire suite","Wed Jul 16 16:08:25 GMT 2025","passed","Wed Jul 16 16:08:27 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCommentWithFile"
"","1165","checkAddLinkToCard","Surefire suite","Wed Jul 16 16:08:29 GMT 2025","passed","Wed Jul 16 16:08:30 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddLinkToCard"
"","3454","checkLoginWithWrongPassword","Surefire suite","Wed Jul 16 16:07:37 GMT 2025","passed","Wed Jul 16 16:07:41 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","10776","checkLogout","Surefire suite","Wed Jul 16 16:07:50 GMT 2025","passed","Wed Jul 16 16:08:01 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
"","9428","checkLoginWithWrongPin","Surefire suite","Wed Jul 16 16:07:41 GMT 2025","passed","Wed Jul 16 16:07:50 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
