"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10133","checkChangeAccountPassword","Surefire suite","Sat Jul 12 10:12:09 GMT 2025","passed","Sat Jul 12 10:12:19 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","8924","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 10:12:58 GMT 2025","passed","Sat Jul 12 10:13:07 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","10355","checkChangeAvatar","Surefire suite","Sat Jul 12 10:12:19 GMT 2025","passed","Sat Jul 12 10:12:29 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","10497","checkChangeUserName","Surefire suite","Sat Jul 12 10:12:29 GMT 2025","passed","Sat Jul 12 10:12:40 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","3686","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 10:12:54 GMT 2025","passed","Sat Jul 12 10:12:58 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","6576","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 10:13:22 GMT 2025","passed","Sat Jul 12 10:13:29 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","10457","checkSwitchTheme","Surefire suite","Sat Jul 12 10:12:40 GMT 2025","passed","Sat Jul 12 10:12:50 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","14810","checkLogout","Surefire suite","Sat Jul 12 10:13:07 GMT 2025","passed","Sat Jul 12 10:13:22 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
"","34884","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 10:13:29 GMT 2025","failed","Sat Jul 12 10:14:03 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","3891","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 10:12:50 GMT 2025","passed","Sat Jul 12 10:12:54 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
