"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2982","checkLoginWithWrongEmail","KaitenQA Regression Test","Sun Jul 20 21:46:36 GMT 2025","passed","Sun Jul 20 21:46:39 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","11376","checkSearchByCustomFilter","KaitenQA Regression Test","Sun Jul 20 21:48:42 GMT 2025","passed","Sun Jul 20 21:48:53 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkSearchByCustomFilter"
"","14401","checkAddCommentWithFile","KaitenQA Regression Test","Sun Jul 20 21:49:31 GMT 2025","passed","Sun Jul 20 21:49:45 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkAddCommentWithFile"
"","1596","checkCreatingCard","KaitenQA Regression Test","Sun Jul 20 21:49:47 GMT 2025","passed","Sun Jul 20 21:49:49 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingCard"
"","1119","checkAddCommentWithFile","KaitenQA Regression Test","Sun Jul 20 21:49:49 GMT 2025","passed","Sun Jul 20 21:49:50 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCommentWithFile"
"","1090","checkCreatingBoard","KaitenQA Regression Test","Sun Jul 20 21:49:46 GMT 2025","passed","Sun Jul 20 21:49:47 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingBoard"
"","2037","checkDeletingCard","KaitenQA Regression Test","Sun Jul 20 21:49:53 GMT 2025","passed","Sun Jul 20 21:49:55 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkDeletingCard"
"","10720","checkDragAndDropCard","KaitenQA Regression Test","Sun Jul 20 21:49:10 GMT 2025","passed","Sun Jul 20 21:49:21 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkDragAndDropCard"
"","8613","checkCloseCard","KaitenQA Regression Test","Sun Jul 20 21:49:01 GMT 2025","passed","Sun Jul 20 21:49:10 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkCloseCard"
"","9006","checkSearchByCardName","KaitenQA Regression Test","Sun Jul 20 21:48:14 GMT 2025","failed","Sun Jul 20 21:48:23 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkSearchByCardName"
"","670","checkAddTagToCard","KaitenQA Regression Test","Sun Jul 20 21:49:51 GMT 2025","passed","Sun Jul 20 21:49:52 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddTagToCard"
"","9106","checkCreatingCustomFilter","KaitenQA Regression Test","Sun Jul 20 21:48:33 GMT 2025","passed","Sun Jul 20 21:48:42 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkCreatingCustomFilter"
"","8463","checkFilteringByCardName","KaitenQA Regression Test","Sun Jul 20 21:47:48 GMT 2025","passed","Sun Jul 20 21:47:57 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkFilteringByCardName"
"","420","checkAddCommentToCard","KaitenQA Regression Test","Sun Jul 20 21:49:49 GMT 2025","passed","Sun Jul 20 21:49:49 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCommentToCard"
"","10917","checkSwitchTheme","KaitenQA Regression Test","Sun Jul 20 21:46:55 GMT 2025","passed","Sun Jul 20 21:47:06 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkSwitchTheme"
"","11993","checkSuccessLoginWithPin","KaitenQA Regression Test","Sun Jul 20 21:46:07 GMT 2025","passed","Sun Jul 20 21:46:19 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","7696","checkChangeAccountPassword","KaitenQA Regression Test","Sun Jul 20 21:47:23 GMT 2025","passed","Sun Jul 20 21:47:31 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkChangeAccountPassword"
"","8729","checkChangeAvatar","KaitenQA Regression Test","Sun Jul 20 21:47:14 GMT 2025","passed","Sun Jul 20 21:47:23 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkChangeAvatar"
"","455","checkAddCardDescriptionAndAsap","KaitenQA Regression Test","Sun Jul 20 21:49:50 GMT 2025","passed","Sun Jul 20 21:49:51 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCardDescriptionAndAsap"
"","8977","checkLoginWithWrongPin","KaitenQA Regression Test","Sun Jul 20 21:46:27 GMT 2025","passed","Sun Jul 20 21:46:36 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongPin"
