"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37472","checkChangeAccountPassword","Surefire suite","Sat Jul 12 01:24:29 GMT 2025","failed","Sat Jul 12 01:25:06 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","32573","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 01:26:54 GMT 2025","failed","Sat Jul 12 01:27:26 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","13695","checkSwitchTheme","Surefire suite","Sat Jul 12 01:25:36 GMT 2025","passed","Sat Jul 12 01:25:50 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","5576","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 01:25:53 GMT 2025","failed","Sat Jul 12 01:25:59 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","10385","checkChangeUserName","Surefire suite","Sat Jul 12 01:25:26 GMT 2025","passed","Sat Jul 12 01:25:36 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","32598","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 01:25:59 GMT 2025","failed","Sat Jul 12 01:26:31 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","8094","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 01:26:45 GMT 2025","passed","Sat Jul 12 01:26:53 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","19244","checkChangeAvatar","Surefire suite","Sat Jul 12 01:25:06 GMT 2025","passed","Sat Jul 12 01:25:26 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","13775","checkLogout","Surefire suite","Sat Jul 12 01:26:32 GMT 2025","passed","Sat Jul 12 01:26:45 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
"","3111","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 01:25:50 GMT 2025","failed","Sat Jul 12 01:25:53 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
