"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10047","checkCreatingCustomFilter","KaitenQA Regression Test","Mon Jul 21 06:04:31 GMT 2025","passed","Mon Jul 21 06:04:41 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkCreatingCustomFilter"
"","8739","checkFilteringByTag","KaitenQA Regression Test","Mon Jul 21 06:03:44 GMT 2025","passed","Mon Jul 21 06:03:53 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkFilteringByTag"
"","8807","checkDeletingCard","KaitenQA Regression Test","Mon Jul 21 06:06:18 GMT 2025","passed","Mon Jul 21 06:06:27 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkDeletingCard"
"","2802","checkAddLinkToCard","KaitenQA Regression Test","Mon Jul 21 06:06:11 GMT 2025","passed","Mon Jul 21 06:06:13 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddLinkToCard"
"","11094","checkDragAndDropCard","KaitenQA Regression Test","Mon Jul 21 06:05:22 GMT 2025","passed","Mon Jul 21 06:05:33 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkDragAndDropCard"
"","23973","checkSuccessLoginWithPin","KaitenQA Regression Test","Mon Jul 21 06:01:24 GMT 2025","passed","Mon Jul 21 06:01:48 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","21455","checkAddCommentWithFile","KaitenQA Regression Test","Mon Jul 21 06:05:44 GMT 2025","passed","Mon Jul 21 06:06:05 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkAddCommentWithFile"
"","14376","checkSwitchTheme","KaitenQA Regression Test","Mon Jul 21 06:02:34 GMT 2025","passed","Mon Jul 21 06:02:48 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkSwitchTheme"
"","1395","checkCreatingCard","KaitenQA Regression Test","Mon Jul 21 06:06:07 GMT 2025","passed","Mon Jul 21 06:06:09 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingCard"
"","10924","checkAddComment","KaitenQA Regression Test","Mon Jul 21 06:05:33 GMT 2025","passed","Mon Jul 21 06:05:44 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkAddComment"
"","1051","checkCreatingBoard","KaitenQA Regression Test","Mon Jul 21 06:06:06 GMT 2025","passed","Mon Jul 21 06:06:07 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingBoard"
"","438","checkAddCommentToCard","KaitenQA Regression Test","Mon Jul 21 06:06:09 GMT 2025","passed","Mon Jul 21 06:06:09 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCommentToCard"
"","8722","checkFilteringByCardName","KaitenQA Regression Test","Mon Jul 21 06:03:53 GMT 2025","passed","Mon Jul 21 06:04:01 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkFilteringByCardName"
"","2076","checkAddTagToCard","KaitenQA Regression Test","Mon Jul 21 06:06:13 GMT 2025","passed","Mon Jul 21 06:06:15 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddTagToCard"
"","704","checkCreatingWorkspace","KaitenQA Regression Test","Mon Jul 21 06:06:06 GMT 2025","passed","Mon Jul 21 06:06:06 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingWorkspace"
"","2957","checkLoginWithWrongEmail","KaitenQA Regression Test","Mon Jul 21 06:02:17 GMT 2025","passed","Mon Jul 21 06:02:20 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","13812","checkLogout","KaitenQA Regression Test","Mon Jul 21 06:02:20 GMT 2025","passed","Mon Jul 21 06:02:34 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLogout"
"","16496","checkSuccessLoginWithPassword","KaitenQA Regression Test","Mon Jul 21 06:01:48 GMT 2025","passed","Mon Jul 21 06:02:05 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","8882","checkLoginWithWrongPin","KaitenQA Regression Test","Mon Jul 21 06:02:08 GMT 2025","passed","Mon Jul 21 06:02:17 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongPin"
"","8212","checkOpenCard","KaitenQA Regression Test","Mon Jul 21 06:05:04 GMT 2025","passed","Mon Jul 21 06:05:12 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkOpenCard"
"","8365","checkChangeAccountPassword","KaitenQA Regression Test","Mon Jul 21 06:03:05 GMT 2025","passed","Mon Jul 21 06:03:14 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkChangeAccountPassword"
"","2641","checkAddCardChecklist","KaitenQA Regression Test","Mon Jul 21 06:06:15 GMT 2025","passed","Mon Jul 21 06:06:18 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCardChecklist"
"","8467","checkChangeAvatar","KaitenQA Regression Test","Mon Jul 21 06:02:57 GMT 2025","passed","Mon Jul 21 06:03:05 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkChangeAvatar"
"","11352","checkSearchByCustomFilter","KaitenQA Regression Test","Mon Jul 21 06:04:53 GMT 2025","passed","Mon Jul 21 06:05:04 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkSearchByCustomFilter"
"","10138","checkSearchByCardName","KaitenQA Regression Test","Mon Jul 21 06:04:21 GMT 2025","failed","Mon Jul 21 06:04:31 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkSearchByCardName"
"","848","checkAddCommentWithFile","KaitenQA Regression Test","Mon Jul 21 06:06:09 GMT 2025","passed","Mon Jul 21 06:06:10 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCommentWithFile"
"","530","checkAddCardDescriptionAndAsap","KaitenQA Regression Test","Mon Jul 21 06:06:10 GMT 2025","passed","Mon Jul 21 06:06:11 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCardDescriptionAndAsap"
"","8636","checkChangeUserName","KaitenQA Regression Test","Mon Jul 21 06:02:48 GMT 2025","passed","Mon Jul 21 06:02:57 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkChangeUserName"
"","2987","checkLoginWithWrongPassword","KaitenQA Regression Test","Mon Jul 21 06:02:05 GMT 2025","passed","Mon Jul 21 06:02:08 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","9363","checkCloseCard","KaitenQA Regression Test","Mon Jul 21 06:05:12 GMT 2025","passed","Mon Jul 21 06:05:22 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkCloseCard"
