"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8525","checkSwitchTheme","KaitenQA Regression Test","Wed Jul 23 18:44:10 GMT 2025","passed","Wed Jul 23 18:44:19 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkSwitchTheme"
"","1375","checkAddCardChecklist","KaitenQA Regression Test","Wed Jul 23 18:46:49 GMT 2025","passed","Wed Jul 23 18:46:51 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCardChecklist"
"","10790","checkFilteringByCardName","KaitenQA Regression Test","Wed Jul 23 18:44:55 GMT 2025","passed","Wed Jul 23 18:45:05 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkFilteringByCardName"
"","9001","checkCreatingCustomFilter","KaitenQA Regression Test","Wed Jul 23 18:45:25 GMT 2025","passed","Wed Jul 23 18:45:34 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkCreatingCustomFilter"
"","2972","checkLoginWithWrongPassword","KaitenQA Regression Test","Wed Jul 23 18:43:44 GMT 2025","passed","Wed Jul 23 18:43:47 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","584","checkCreatingWorkspace","KaitenQA Regression Test","Wed Jul 23 18:46:43 GMT 2025","passed","Wed Jul 23 18:46:44 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingWorkspace"
"","977","checkAddCommentWithFile","KaitenQA Regression Test","Wed Jul 23 18:46:47 GMT 2025","passed","Wed Jul 23 18:46:48 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCommentWithFile"
"","15655","checkAddCommentWithFile","KaitenQA Regression Test","Wed Jul 23 18:46:27 GMT 2025","passed","Wed Jul 23 18:46:43 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkAddCommentWithFile"
"","12930","checkDragAndDropCard","KaitenQA Regression Test","Wed Jul 23 18:46:05 GMT 2025","passed","Wed Jul 23 18:46:18 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkDragAndDropCard"
"","10768","checkSearchByCardName","KaitenQA Regression Test","Wed Jul 23 18:45:05 GMT 2025","passed","Wed Jul 23 18:45:16 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkSearchByCardName"
