"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","checkCreatingCard","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingCard"
"","1","checkAddCommentWithFile","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCommentWithFile"
"","0","checkCreatingBoard","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingBoard"
"","0","checkLogout","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLogout"
"","0","checkChangeUserName","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkChangeUserName"
"","0","checkAddTagToCard","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddTagToCard"
"","0","checkCreatingCustomFilter","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkCreatingCustomFilter"
"","0","checkChangeAccountPassword","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkChangeAccountPassword"
"","0","checkFilteringByTag","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkFilteringByTag"
"","0","checkChangeAvatar","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkChangeAvatar"
"","0","checkDragAndDropCard","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkDragAndDropCard"
"","0","checkAddLinkToCard","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddLinkToCard"
"","2","loadVariables","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","failed","Wed Jul 23 19:00:58 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","loadVariables"
"","0","checkLoginWithWrongPin","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongPin"
"","1","checkCloseCard","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkCloseCard"
"","0","checkSearchByCardName","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkSearchByCardName"
"","1","checkAddCardDescriptionAndAsap","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCardDescriptionAndAsap"
"","0","checkSuccessLoginWithPassword","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","1","checkAddCommentWithFile","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkAddCommentWithFile"
"","1","checkDeletingCard","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkDeletingCard"
"","0","checkSwitchTheme","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.ProfileTest","Chrome UI Tests","tests.ui.ProfileTest","checkSwitchTheme"
"","1","checkLoginWithWrongEmail","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","1","checkSuccessLoginWithPin","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","0","checkAddComment","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkAddComment"
"","0","checkSearchByCustomFilter","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkSearchByCustomFilter"
"","0","checkFilteringByCardName","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkFilteringByCardName"
"","1","checkCreatingWorkspace","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkCreatingWorkspace"
"","0","checkOpenCard","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.ui.WorkspaceTest","Chrome UI Tests","tests.ui.WorkspaceTest","checkOpenCard"
"","1","checkLoginWithWrongPassword","KaitenQA Regression Test","Wed Jul 23 19:00:58 GMT 2025","skipped","Wed Jul 23 19:00:58 GMT 2025","tests.ui.LoginTest","Chrome UI Tests","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","0","checkAddCardChecklist","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCardChecklist"
"","0","checkAddCommentToCard","KaitenQA Regression Test","Wed Jul 23 19:00:59 GMT 2025","skipped","Wed Jul 23 19:00:59 GMT 2025","tests.api.KaitenApiTest","API Tests","tests.api.KaitenApiTest","checkAddCommentToCard"
