"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2998","checkLoginWithWrongPassword","Surefire suite","Wed Jul 16 16:06:56 GMT 2025","passed","Wed Jul 16 16:06:59 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","1926","checkCreatingCard","Surefire suite","Wed Jul 16 16:07:37 GMT 2025","passed","Wed Jul 16 16:07:39 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkCreatingCard"
"","8992","checkLoginWithWrongPin","Surefire suite","Wed Jul 16 16:06:59 GMT 2025","passed","Wed Jul 16 16:07:08 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","10533","checkLogout","Surefire suite","Wed Jul 16 16:07:08 GMT 2025","passed","Wed Jul 16 16:07:19 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
"","1144","checkAddCardDescriptionAndAsap","Surefire suite","Wed Jul 16 16:07:42 GMT 2025","passed","Wed Jul 16 16:07:43 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardDescriptionAndAsap"
"","2907","checkAddCardChecklist","Surefire suite","Wed Jul 16 16:07:47 GMT 2025","passed","Wed Jul 16 16:07:50 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardChecklist"
"","5106","checkSuccessLoginWithPassword","Surefire suite","Wed Jul 16 16:07:19 GMT 2025","passed","Wed Jul 16 16:07:24 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","1986","checkDeletingCard","Surefire suite","Wed Jul 16 16:07:50 GMT 2025","passed","Wed Jul 16 16:07:52 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkDeletingCard"
"","2244","checkAddCommentWithFile","Surefire suite","Wed Jul 16 16:07:40 GMT 2025","passed","Wed Jul 16 16:07:42 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCommentWithFile"
"","1011","checkAddCommentToCard","Surefire suite","Wed Jul 16 16:07:39 GMT 2025","passed","Wed Jul 16 16:07:40 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCommentToCard"
"","2964","checkLoginWithWrongEmail","Surefire suite","Wed Jul 16 16:06:53 GMT 2025","passed","Wed Jul 16 16:06:56 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","8624","checkChangeAvatar","Surefire suite","Wed Jul 16 16:06:27 GMT 2025","passed","Wed Jul 16 16:06:36 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","8645","checkSwitchTheme","Surefire suite","Wed Jul 16 16:06:44 GMT 2025","passed","Wed Jul 16 16:06:53 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","672","checkCreatingWorkspace","Surefire suite","Wed Jul 16 16:07:34 GMT 2025","passed","Wed Jul 16 16:07:35 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkCreatingWorkspace"
"","1855","checkAddCardCover","Surefire suite","Wed Jul 16 16:07:45 GMT 2025","passed","Wed Jul 16 16:07:47 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddCardCover"
"","10483","checkSuccessLoginWithPin","Surefire suite","Wed Jul 16 16:07:24 GMT 2025","passed","Wed Jul 16 16:07:34 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","1570","checkCreatingBoard","Surefire suite","Wed Jul 16 16:07:35 GMT 2025","passed","Wed Jul 16 16:07:37 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkCreatingBoard"
"","8467","checkChangeUserName","Surefire suite","Wed Jul 16 16:06:36 GMT 2025","passed","Wed Jul 16 16:06:44 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","1085","checkAddLinkToCard","Surefire suite","Wed Jul 16 16:07:43 GMT 2025","passed","Wed Jul 16 16:07:44 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddLinkToCard"
"","8331","checkChangeAccountPassword","Surefire suite","Wed Jul 16 16:06:19 GMT 2025","passed","Wed Jul 16 16:06:27 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","995","checkAddTagToCard","Surefire suite","Wed Jul 16 16:07:44 GMT 2025","passed","Wed Jul 16 16:07:45 GMT 2025","tests.api.KaitenApiTest","Surefire test","tests.api.KaitenApiTest","checkAddTagToCard"
