"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13423","checkLogout","Surefire suite","Sat Jul 12 22:34:21 GMT 2025","failed","Sat Jul 12 22:34:35 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
"","9161","checkChangeAccountPassword","Surefire suite","Sat Jul 12 22:33:13 GMT 2025","passed","Sat Jul 12 22:33:22 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","3890","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 22:34:03 GMT 2025","passed","Sat Jul 12 22:34:07 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","3728","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 22:34:07 GMT 2025","passed","Sat Jul 12 22:34:11 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","11758","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 22:34:48 GMT 2025","passed","Sat Jul 12 22:35:00 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","10043","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 22:34:11 GMT 2025","passed","Sat Jul 12 22:34:21 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","13601","checkSwitchTheme","Surefire suite","Sat Jul 12 22:33:50 GMT 2025","failed","Sat Jul 12 22:34:03 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","13526","checkChangeAvatar","Surefire suite","Sat Jul 12 22:33:23 GMT 2025","failed","Sat Jul 12 22:33:36 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","13401","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 22:34:35 GMT 2025","failed","Sat Jul 12 22:34:48 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","13487","checkChangeUserName","Surefire suite","Sat Jul 12 22:33:36 GMT 2025","failed","Sat Jul 12 22:33:50 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
