"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31388","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 10:04:29 GMT 2025","failed","Sat Jul 12 10:05:00 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","8441","checkChangeUserName","Surefire suite","Sat Jul 12 10:03:42 GMT 2025","passed","Sat Jul 12 10:03:50 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","2962","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 10:03:58 GMT 2025","passed","Sat Jul 12 10:04:01 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","8027","checkSwitchTheme","Surefire suite","Sat Jul 12 10:03:50 GMT 2025","passed","Sat Jul 12 10:03:58 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","7879","checkChangeAccountPassword","Surefire suite","Sat Jul 12 10:03:25 GMT 2025","passed","Sat Jul 12 10:03:33 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","2934","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 10:04:02 GMT 2025","passed","Sat Jul 12 10:04:04 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","5006","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 10:04:24 GMT 2025","passed","Sat Jul 12 10:04:29 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","10728","checkLogout","Surefire suite","Sat Jul 12 10:04:13 GMT 2025","passed","Sat Jul 12 10:04:23 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
"","8117","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 10:04:05 GMT 2025","passed","Sat Jul 12 10:04:13 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","8402","checkChangeAvatar","Surefire suite","Sat Jul 12 10:03:33 GMT 2025","passed","Sat Jul 12 10:03:42 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
