"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11975","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 22:53:51 GMT 2025","passed","Sat Jul 12 22:54:03 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","3855","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 22:53:14 GMT 2025","passed","Sat Jul 12 22:53:18 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","10327","checkChangeAccountPassword","Surefire suite","Sat Jul 12 22:52:31 GMT 2025","passed","Sat Jul 12 22:52:42 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","10801","checkSwitchTheme","Surefire suite","Sat Jul 12 22:53:03 GMT 2025","passed","Sat Jul 12 22:53:14 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","10052","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 22:53:22 GMT 2025","passed","Sat Jul 12 22:53:32 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","12460","checkLogout","Surefire suite","Sat Jul 12 22:53:32 GMT 2025","passed","Sat Jul 12 22:53:45 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
"","6326","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 22:53:45 GMT 2025","passed","Sat Jul 12 22:53:51 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","3950","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 22:53:18 GMT 2025","passed","Sat Jul 12 22:53:22 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","10922","checkChangeUserName","Surefire suite","Sat Jul 12 22:52:52 GMT 2025","passed","Sat Jul 12 22:53:03 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","10505","checkChangeAvatar","Surefire suite","Sat Jul 12 22:52:42 GMT 2025","passed","Sat Jul 12 22:52:52 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
